timestamp,brightness_lux
2022-09-16 08:46:00.573168,15358
2022-09-16 08:47:01.135377,8790
2022-09-16 08:47:01.135377,8790
2022-09-16 08:48:00.182031,16096
2022-09-16 08:48:00.182031,16096
2022-09-16 08:49:01.864820,8657
2022-09-16 08:49:01.864820,8657
2022-09-16 08:52:00.476649,16386
2022-09-16 08:52:00.476649,16386
2022-09-16 08:53:01.373541,18034
2022-09-16 08:53:01.373541,18034
2022-09-16 08:54:00.868454,17859
2022-09-16 08:54:00.868454,17859
2022-09-16 08:55:01.808575,10345
2022-09-16 08:55:01.808575,10345
2022-09-16 08:56:01.823131,9310
2022-09-16 08:56:01.823131,9310
2022-09-16 08:57:00.185333,9590
2022-09-16 08:57:00.185333,9590
2022-09-16 08:58:01.009738,19146
2022-09-16 08:58:01.009738,19146
2022-09-16 08:59:01.078020,11478
2022-09-16 08:59:01.078020,11478
2022-09-16 09:00:01.942211,11082
2022-09-16 09:00:01.942211,11082
2022-09-16 09:01:01.024892,9765
2022-09-16 09:01:01.024892,9765
2022-09-16 09:02:01.611903,19101
2022-09-16 09:02:01.611903,19101
2022-09-16 09:03:01.499940,14597
2022-09-16 09:03:01.499940,14597
2022-09-16 09:04:00.643330,12216
2022-09-16 09:04:00.643330,12216
2022-09-16 09:05:01.571679,11973
2022-09-16 09:05:01.571679,11973
2022-09-16 09:06:01.576381,12138
2022-09-16 09:06:01.576381,12138
2022-09-16 09:07:01.943300,11994
2022-09-16 09:07:01.943300,11994
2022-09-16 09:08:00.925788,12254
2022-09-16 09:08:00.925788,12254
2022-09-16 09:09:01.670710,15225
2022-09-16 09:09:01.670710,15225
2022-09-16 09:10:00.510801,21271
2022-09-16 09:10:00.510801,21271
2022-09-16 09:11:01.779738,21729
2022-09-16 09:11:01.779738,21729
2022-09-16 09:12:00.155361,11760
2022-09-16 09:12:00.155361,11760
2022-09-16 09:13:01.424457,10956
2022-09-16 09:13:01.424457,10956
2022-09-16 09:14:00.286468,13970
2022-09-16 09:14:00.286468,13970
2022-09-16 09:15:01.945560,14751
2022-09-16 09:15:01.945560,14751
2022-09-16 09:16:00.550489,12681
2022-09-16 09:16:00.550489,12681
2022-09-16 09:17:00.737558,14900
2022-09-16 09:17:00.737558,14900
2022-09-16 09:18:00.061244,16585
2022-09-16 09:18:00.061244,16585
2022-09-16 09:19:00.839887,13971
2022-09-16 09:19:00.839887,13971
2022-09-16 09:20:01.812623,12312
2022-09-16 09:20:01.812623,12312
2022-09-16 09:21:00.114675,16151
2022-09-16 09:21:00.114675,16151
2022-09-16 09:22:00.823887,18216
2022-09-16 09:22:00.823887,18216
2022-09-16 09:23:01.905811,20228
2022-09-16 09:23:01.905811,20228
2022-09-16 09:24:01.734285,16260
2022-09-16 09:24:01.734285,16260
2022-09-16 09:25:01.365579,13114
2022-09-16 09:25:01.365579,13114
2022-09-16 09:26:01.846396,22106
2022-09-16 09:26:01.846396,22106
2022-09-16 09:27:00.337171,21519
2022-09-16 09:27:00.337171,21519
2022-09-16 09:28:01.277737,28019
2022-09-16 09:28:01.277737,28019
2022-09-16 09:29:01.812683,23012
2022-09-16 09:29:01.812683,23012
2022-09-16 09:30:00.822267,28216
2022-09-16 09:30:00.822267,28216
2022-09-16 09:31:01.714049,29380
2022-09-16 09:31:01.714049,29380
2022-09-16 09:32:01.050853,19304
2022-09-16 09:32:01.050853,19304
2022-09-16 09:33:01.771963,14451
2022-09-16 09:33:01.771963,14451
2022-09-16 09:34:00.930382,10912
2022-09-16 09:34:00.930382,10912
2022-09-16 09:35:00.721642,29994
2022-09-16 09:35:00.721642,29994
2022-09-16 09:36:00.764346,30907
2022-09-16 09:36:00.764346,30907
2022-09-16 09:39:00.617593,13963
2022-09-16 09:39:00.617593,13963
2022-09-16 09:40:00.614488,19327
2022-09-16 09:40:00.614488,19327
2022-09-16 09:41:00.230956,33239
2022-09-16 09:41:00.230956,33239
2022-09-16 09:42:01.381121,32695
2022-09-16 09:42:01.381121,32695
2022-09-16 09:43:00.540044,23027
2022-09-16 09:43:00.540044,23027
2022-09-16 09:44:00.695065,19995
2022-09-16 09:44:00.695065,19995
2022-09-16 09:45:00.808807,20862
2022-09-16 09:45:00.808807,20862
2022-09-16 09:46:00.187265,21283
2022-09-16 09:46:00.187265,21283
2022-09-16 09:47:00.481673,22191
2022-09-16 09:47:00.481673,22191
2022-09-16 09:48:00.886516,35080
2022-09-16 09:48:00.886516,35080
2022-09-16 09:49:01.353390,35609
2022-09-16 09:49:01.353390,35609
2022-09-16 09:50:00.000821,35676
2022-09-16 09:50:00.000821,35676
2022-09-16 09:51:00.319086,19164
2022-09-16 09:51:00.319086,19164
2022-09-16 09:52:01.186724,30805
2022-09-16 09:52:01.186724,30805
2022-09-16 09:53:00.207295,29509
2022-09-16 09:53:00.207295,29509
2022-09-16 09:54:01.670254,23461
2022-09-16 09:54:01.670254,23461
2022-09-16 09:55:00.454166,37529
2022-09-16 09:55:00.454166,37529
2022-09-16 09:56:00.925987,39409
2022-09-16 09:56:00.925987,39409
2022-09-16 09:57:00.018714,26662
2022-09-16 09:57:00.018714,26662
2022-09-16 09:58:01.035823,40027
2022-09-16 09:58:01.035823,40027
2022-09-16 09:59:01.818512,22267
2022-09-16 09:59:01.818512,22267
2022-09-16 10:00:01.731968,24993
2022-09-16 10:00:01.731968,24993
2022-09-16 10:01:01.799720,20917
2022-09-16 10:01:01.799720,20917
2022-09-16 10:02:01.337533,19557
2022-09-16 10:02:01.337533,19557
2022-09-16 10:03:00.537742,32552
2022-09-16 10:03:00.537742,32552
