car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
B48B,38287.6513,34686.6961,BASEMENT CAR PARK,ELECTRONIC PARKING
B50B,36751.1433,34871.319,SURFACE CAR PARK,ELECTRONIC PARKING
B6,38797.4548,34284.616,SURFACE CAR PARK,ELECTRONIC PARKING
B6M,38858.3585,34156.6609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
B6T,39044.9784,33995.6053,SURFACE CAR PARK,COUPON PARKING
B65L,40720.5785,33389.4366,SURFACE CAR PARK,ELECTRONIC PARKING
B65M,40577.3467,33351.3208,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
B7,38973.5423,34152.0151,SURFACE CAR PARK,ELECTRONIC PARKING
B7A,39208.9372,34373.2247,SURFACE CAR PARK,ELECTRONIC PARKING
B7B,39298.3108,34305.7565,SURFACE CAR PARK,ELECTRONIC PARKING
B70,38536.5889,34280.1109,SURFACE CAR PARK,ELECTRONIC PARKING
B8,38567.8313,34234.9589,SURFACE CAR PARK,ELECTRONIC PARKING
B8B,38531.1666,34114.4997,BASEMENT CAR PARK,ELECTRONIC PARKING
B82,38805.8064,35117.6383,SURFACE CAR PARK,COUPON PARKING
B84,39227.6155,34273.0906,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
B91,37007.0862,34999.621,BASEMENT CAR PARK,ELECTRONIC PARKING
B95,39325.3283,34194.2403,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
B96,39088.1581,34133.7804,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
B99M,37954.0727,34412.5835,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CCKC,18254.4236,40780.2921,BASEMENT CAR PARK,ELECTRONIC PARKING
CC5,38025.2345,34117.8358,SURFACE CAR PARK,ELECTRONIC PARKING
CC6,38043.4844,33973.1328,SURFACE CAR PARK,ELECTRONIC PARKING
CKK1,18073.929,40606.0548,SURFACE CAR PARK,COUPON PARKING
CKM2,18365.515,42251.984,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CKT1,17457.2727,40253.9548,SURFACE CAR PARK,ELECTRONIC PARKING
CKT2,17986.1193,40839.8157,SURFACE CAR PARK,ELECTRONIC PARKING
