car_park_no,x_coord,y_coord,car_park_type,car_park_type_encoded,cluster_label
BR12,30715.4375,34382.2305,SURFACE CAR PARK,5,4
BR14,30967.5336,34242.9719,SURFACE CAR PARK,5,4
BR18,30496.3613,34277.707,SURFACE CAR PARK,5,4
BR21,30595.5166,34387.1259,SURFACE CAR PARK,5,4
BR22,30701.4824,34507.3281,SURFACE CAR PARK,5,4
BR4,30459.8203,33979.9766,SURFACE CAR PARK,5,4
BR5,30768.0099,34127.2333,SURFACE CAR PARK,5,4
BR6,30249.9707,33920.4375,SURFACE CAR PARK,5,4
BR8,30363.7715,34154.9883,SURFACE CAR PARK,5,4
BR9,29939.1769,33469.7037,SURFACE CAR PARK,5,4
BTM,27996.7913,29911.548,MULTI-STOREY CAR PARK,4,4
BTM2,27590.7177,29931.3587,MULTI-STOREY CAR PARK,4,4
BTM3,27485.7966,29859.2793,MULTI-STOREY CAR PARK,4,4
BVM2,26893.4354,29547.635,MULTI-STOREY CAR PARK,4,4
BWM,25037.7298,29927.4975,MULTI-STOREY CAR PARK,4,4
B10,39172.2903,34582.9441,SURFACE CAR PARK,5,1
B10M,39040.5507,34603.0432,MULTI-STOREY CAR PARK,4,1
B11,38803.7496,34507.0389,SURFACE CAR PARK,5,1
B12,38523.5625,34424.8004,SURFACE CAR PARK,5,1
B13,38733.3633,34652.0234,SURFACE CAR PARK,5,1
B14,38920.4797,34597.393,SURFACE CAR PARK,5,1
B16,39934.8473,33971.8042,SURFACE CAR PARK,5,1
B17,40079.2617,34051.0508,SURFACE CAR PARK,5,1
B19,39979.5352,33797.4766,SURFACE CAR PARK,5,1
B20,40253.2539,33562.5352,SURFACE CAR PARK,5,1
B21,39989.0226,34488.949,SURFACE CAR PARK,5,1
B23L,39851.2917,34739.452,SURFACE CAR PARK,5,1
B23M,39944.1477,34766.4678,MULTI-STOREY CAR PARK,4,1
B24,39682.7466,34983.1176,SURFACE CAR PARK,5,1
B24A,39829.8122,34830.0817,SURFACE CAR PARK,5,1
B25,39927.1063,35018.7287,SURFACE CAR PARK,5,1
B26,39910.4336,35166.7734,SURFACE CAR PARK,5,1
B27,39654.1953,35145.7266,SURFACE CAR PARK,5,1
B28,39379.6445,34971.7852,SURFACE CAR PARK,5,1
B30,39733.8204,34684.0888,SURFACE CAR PARK,5,1
B31,39744.5963,34524.6842,SURFACE CAR PARK,5,1
B32,39511.7026,34404.0851,SURFACE CAR PARK,5,1
B33,39405.1638,34385.3038,SURFACE CAR PARK,5,1
B34,39391.0547,34503.7773,SURFACE CAR PARK,5,1
B35,39335.7148,34586.2422,SURFACE CAR PARK,5,1
B40,39067.9293,34972.3428,SURFACE CAR PARK,5,1
B41,38925.7812,34972.8867,SURFACE CAR PARK,5,1
B42,38851.0273,34961.4805,SURFACE CAR PARK,5,1
B43,38492.9294,34812.5657,SURFACE CAR PARK,5,1
B44,38482.3867,35129.4805,SURFACE CAR PARK,5,1
B44A,38743.3984,35178.6016,SURFACE CAR PARK,5,1
B44B,37970.7092,34944.8181,SURFACE CAR PARK,5,1
B45,38250.9386,34876.1148,SURFACE CAR PARK,5,1
B46,38112.1565,34836.4398,SURFACE CAR PARK,5,1
B47,37896.9112,34789.4034,SURFACE CAR PARK,5,1
B48,38027.5007,34700.9495,SURFACE CAR PARK,5,1
B48B,38287.6513,34686.6961,BASEMENT CAR PARK,0,1
B49,38388.8477,34932.0469,SURFACE CAR PARK,5,1
B50,36875.1304,34739.7397,SURFACE CAR PARK,5,1
B50A,36838.2461,34857.5547,SURFACE CAR PARK,5,1
B50B,36751.1433,34871.319,SURFACE CAR PARK,5,1
B51,37245.6836,34927.6641,SURFACE CAR PARK,5,1
B52,37412.3828,35122.5781,SURFACE CAR PARK,5,1
B53,37110.0129,35160.4187,SURFACE CAR PARK,5,1
B54,37112.9655,35062.2564,SURFACE CAR PARK,5,1
B57,37537.5855,35336.4582,SURFACE CAR PARK,5,1
B59,38310.1233,35520.6463,SURFACE CAR PARK,5,1
B6,38797.4548,34284.616,SURFACE CAR PARK,5,1
B6M,38858.3585,34156.6609,MULTI-STOREY CAR PARK,4,1
B6T,39044.9784,33995.6053,SURFACE CAR PARK,5,1
B60,38654.6406,35490.0933,SURFACE CAR PARK,5,1
B63,37937.9062,35591.9375,SURFACE CAR PARK,5,1
B65,40502.4219,33588.332,SURFACE CAR PARK,5,1
B65L,40720.5785,33389.4366,SURFACE CAR PARK,5,1
B65M,40577.3467,33351.3208,MULTI-STOREY CAR PARK,4,1
B66,35903.9044,34750.8852,MULTI-STOREY CAR PARK,4,1
B67,36132.6219,34913.1736,MULTI-STOREY CAR PARK,4,1
B68,39530.0381,33861.6257,MULTI-STOREY CAR PARK,4,1
B69,40091.8567,35069.2759,MULTI-STOREY CAR PARK,4,1
B7,38973.5423,34152.0151,SURFACE CAR PARK,5,1
B7A,39208.9372,34373.2247,SURFACE CAR PARK,5,1
B7B,39298.3108,34305.7565,SURFACE CAR PARK,5,1
B70,38536.5889,34280.1109,SURFACE CAR PARK,5,1
B71,38125.3637,34059.3926,MULTI-STOREY CAR PARK,4,1
B72,36243.3489,35174.2762,MULTI-STOREY CAR PARK,4,1
B73,36196.3322,34965.864,MULTI-STOREY CAR PARK,4,1
B74,36428.7057,35005.0793,MULTI-STOREY CAR PARK,4,1
B75,37379.8318,35029.8453,MULTI-STOREY CAR PARK,4,1
B76,39251.41,35342.7343,MULTI-STOREY CAR PARK,4,1
B77,39464.4992,35319.6825,MULTI-STOREY CAR PARK,4,1
B78,39692.6527,35310.6109,MULTI-STOREY CAR PARK,4,1
B79,39583.9006,35439.6773,MULTI-STOREY CAR PARK,4,1
B8,38567.8313,34234.9589,SURFACE CAR PARK,5,1
B8B,38531.1666,34114.4997,BASEMENT CAR PARK,0,1
B80,38020.7204,35604.61,MULTI-STOREY CAR PARK,4,1
B81,39309.7384,33939.7118,MULTI-STOREY CAR PARK,4,1
B82,38805.8064,35117.6383,SURFACE CAR PARK,5,1
B83,37899.5392,34299.8988,MULTI-STOREY CAR PARK,4,1
B84,39227.6155,34273.0906,MULTI-STOREY CAR PARK,4,1
B85,40023.6834,34256.9953,MULTI-STOREY CAR PARK,4,1
B86,39393.0265,34775.2307,MULTI-STOREY CAR PARK,4,1
B87,39449.3971,33644.4324,MULTI-STOREY CAR PARK,4,1
B88,39683.2391,33835.9985,MULTI-STOREY CAR PARK,4,1
B89,39568.2194,34796.4641,MULTI-STOREY CAR PARK,4,1
B9,39184.2416,34709.4842,SURFACE CAR PARK,5,1
B90,39831.9791,33865.2621,MULTI-STOREY CAR PARK,4,1
B91,37007.0862,34999.621,BASEMENT CAR PARK,0,1
B92,39197.6251,33772.3265,MULTI-STOREY CAR PARK,4,1
B93,39224.3984,33631.2777,MULTI-STOREY CAR PARK,4,1
B94,38688.1313,34940.2851,MULTI-STOREY CAR PARK,4,1
B94A,38668.2981,34834.5151,SURFACE CAR PARK,5,1
B95,39325.3283,34194.2403,MULTI-STOREY CAR PARK,4,1
B96,39088.1581,34133.7804,MULTI-STOREY CAR PARK,4,1
B97,38037.1417,35371.0192,MULTI-STOREY CAR PARK,4,1
B98,37860.0561,35362.5681,MULTI-STOREY CAR PARK,4,1
